Qty,Reference(s),Value
46,"C1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",22nF
,"C16,17,18,19,20,21,22,23,24,25,26,27,29",
,"C31,32,33,35,37,38,39,41,43,44,45,47,53",
,"C56,61,64,65,66",
6,"C49,52,55,57,60,63",4.7uF
2,"C50,58",100nF
4,"C51,54,59,62",20pF
1,C67,1uF
1,D1,862-4566
1,D2,862-4572
12,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12",SJ-2523-SMT-TR
1,J13,Conn_01x02
1,J14,Raspberry_Pi_2_3
1,Q1,MMBT3904
2,"R1,59",68R
20,"R9,10,11,12,13,14,15,16,17,18,19,20",100R
,"R33,34,35,37,39,40,41,43",
24,"R21,22,23,24,25,26,27,28,29,30,31,32",1K
,"R45,46,47,49,51,52,53,55,58,61,62,63",
1,R57,10k
2,"U1, U2",ADE7816ACPZ
2,"Y1, Y2",16.384MHz
